iso3,ecoregion,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
AUS,Ningaloo,89325.92044759997,35741.904971902426,97579.6421004564,89325.92044759997,35741.904971902426,97579.6421004564,1.109965067703386,NA,1.109965067703386,0.12614456638403182,0,0,0,0,Doesn't participate
CUB,Greater Antilles,141881.54196430242,159846.65646362305,177879.17349993516,186934.36691308283,20885040.36432878,231133.11272124667,551.0277905010787,NA,16.692379943902036,0.6081837420659106,752038.8715911515,19973154.836274005,21477232.579456307,19973154.836274005,Buyers
NZL,Chatham Island,222502.3608169248,98410.53650900722,262771.02808651637,222502.3608169248,98410.53650900722,262771.02808651637,3.2901473203071436,NA,3.2901473203071436,0.7890425443096614,0,0,0,0,Doesn't participate
CAN,Gulf of St. Lawrence - Eastern Scotian Shelf,248859.49272599263,85449195.5333207,299452.8936363572,250295.63419015694,86820923.32370023,301135.10940367164,957.3805271145628,NA,954.3823410859313,0.356618247201831,1370628.0526997074,1099.7376798316836,2742355.843079254,1099.7376798316836,Buyers
AUS,Houtman,111013.9670850827,65000.63729669032,124640.26353761335,111013.9670850827,65000.63729669032,124640.26353761335,7.637368037771908,NA,7.637368037771908,0.7539549973611582,0,0,0,0,Doesn't participate
NZL,Central New Zealand,438164.40326384304,17617233.826948825,509582.0606313061,438164.40326384304,17617233.826948825,509582.0606313061,470.32862182683243,NA,470.32862182683243,0.08515284808920964,0,0,0,0,Doesn't participate
NZL,Northeastern New Zealand,227375.06147725676,245093.2916451371,258727.4519384979,227375.06147725676,245093.2916451371,258727.4519384979,5.331429742257449,NA,5.331429742257449,0.08245786852916104,0,0,0,0,Doesn't participate
JPN,Ogasawara Islands,755897.1680136746,2175284.1700217035,824183.5399173158,755897.1680136746,2175284.1700217035,824183.5399173158,8.625771855511378,NA,8.625771855511378,0.5917084658907223,0,0,0,0,Doesn't participate
ESP,South European Atlantic Shelf,167569.62310383655,11208978.15039219,188686.28145466227,159017.09394272725,3977886.842332484,178866.64217390577,469.9359978116823,NA,1223.0792847536663,0.3483659814393508,10460421.249204434,-17691512.55726414,3229329.941144729,3229329.941144729,Sellers
BEN,Gulf of Guinea Central,35461.21201190637,2888271.524587999,39156.98154947543,28805.87053479062,45367.58067280065,31785.13926118235,13.475688608720658,NA,879.5273835585066,0.7706052291529942,5853555.07605602,-8696459.019971218,3010651.132140822,3010651.132140822,Sellers
NZL,South New Zealand,160011.65122219193,256383.7836602174,192025.94413072357,160011.65122219193,256383.7836602174,192025.94413072357,30.110274259504884,NA,30.110274259504884,0.7513059030191052,0,0,0,0,Doesn't participate
COD,Gulf of Guinea South,8457.583248540175,31706.581747797565,9308.398856748914,7891.351041047479,1779.5861032678704,8626.27941932681,0.4607670363826514,NA,286.9358945563256,0.04483002230725541,162472.3449835197,-192399.3406280494,132545.34933899,132545.34933899,Sellers
TLS,Lesser Sunda,27015.085505748444,343076.0464782715,30352.677495154017,28441.56528538984,3580821.7707578363,31855.870185438234,2269.745264172971,NA,773.6964432951144,0.6949244896531028,1103662.3319409457,2134083.392338619,4341408.056220511,2134083.392338619,Buyers
GTM,Chiapas-Nicaragua,75083.48476128586,651928.2682182342,92243.0563077789,65932.75542222179,246280.6446197237,80974.83593817687,31.046689523624313,NA,77.6325123046884,0.6675345399922525,710394.1080117646,-1116041.731610275,304746.4844132541,304746.4844132541,Sellers
