iso3,global,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
SLE,Global,105889.62515858558,615995.8203659058,119268.2356956604,108395.94607417934,1335656.9762912905,121987.9919074781,287.13847115419793,NA,116.45780417424845,0.2451520779797619,291880.6303860418,427780.5255393429,1011541.7863114265,427780.5255393429,Buyers
CXR,Global,293152.56426428934,2027000.4344177246,325929.72236933396,219864.423198217,369534.2830159553,244937.9488384093,13.308662674841617,NA,116.45780417424845,0.2451520779797619,8534975.980567347,-10192442.131969117,6877509.829165578,6877509.829165578,Sellers
CCK,Global,395793.933212674,878776.0686950684,448256.5311592314,296845.4499095055,48170.83763026987,336843.46916504146,0.23816348267461415,NA,116.45780417424845,0.2451520779797619,11523323.09185929,-12353928.322924089,10692717.860794492,10692717.860794492,Sellers
PRT,Global,1145884.5045502423,10787633.434249878,1328756.7645728632,943347.9752681138,5247699.117435143,1088363.11242414,12.610844944179021,NA,116.45780417424845,0.2451520779797619,23586959.465270065,-29126893.7820848,18047025.14845533,18047025.14845533,Sellers
PAN,Global,213651.15251393837,2403691.3637542725,261643.3215528055,198413.9302611566,912920.3943893206,243933.09568367925,60.66953488861405,NA,116.45780417424845,0.2451520779797619,1774493.4452739595,-3265264.4146389114,283722.4759090077,283722.4759090077,Sellers
IND,Global,1256570.818668701,19035830.108291626,1519621.9605974283,1402116.7706891452,105075402.11948068,1696290.5632131156,1447.8903476051466,NA,116.45780417424845,0.2451520779797619,16949961.97875145,69089610.03243761,102989533.98994051,69089610.03243761,Buyers
VUT,Global,531707.0209126186,6656657.619857788,607179.9280177634,398780.2656844639,284114.8134916067,454427.9531606174,5.184825952381459,NA,116.45780417424845,0.2451520779797619,15480358.029878698,-21852900.83624488,9107815.223512517,9107815.223512517,Sellers
KEN,Global,76843.67091193201,173961.87231445312,82923.51264246073,72636.74250389893,66320.50836277289,78354.18597478748,20.70850444042077,NA,116.45780417424845,0.2451520779797619,489929.6447177996,-597571.0086694799,382288.28076611937,382288.28076611937,Sellers
NIC,Global,107909.35574436386,1656886.1245117188,126029.6044190898,132829.72782654595,8697094.91991932,155193.30289235275,421.50318993106214,NA,116.45780417424845,0.2451520779797619,2902171.81189617,4138036.9835114307,9942380.60730377,4138036.9835114307,Buyers
JPN,Global,2282972.9646645947,28462481.8677063,2518517.5710857552,2272589.4724840685,27340289.48885202,2506657.3703681706,105.47839673423614,NA,116.45780417424845,0.2451520779797619,1209238.6990045668,-2331431.0778588452,87046.32015028968,87046.32015028968,Sellers
ESP,Global,523226.2791119087,11456114.54220581,621810.8032239777,586440.8700092273,32310574.692393947,695880.9137609443,691.1159958992814,NA,116.45780417424845,0.2451520779797619,7361832.44767516,13492627.702512976,28216292.597863298,13492627.702512976,Buyers
BEN,Global,30558.342522386207,68983.34747314453,33737.73488450098,29195.139055531035,50613.242043475795,32218.860322216995,13.475688608720658,NA,116.45780417424845,0.2451520779797619,158755.68239267616,-177125.7878223449,140385.57696300742,140385.57696300742,Sellers
COD,Global,8354.02768067918,1992.7722473144531,9171.259344304224,7997.990919980553,1828.7222442440677,8751.88894494887,0.4607670363826514,NA,116.45780417424845,0.2451520779797619,41463.25935627451,-41627.309359344894,41299.209353204125,41299.209353204125,Sellers
TLS,Global,51417.09626790593,1678341.8121032715,57598.11160427227,53329.023244690565,2798145.711512344,59649.15268241778,585.69386436102,NA,116.45780417424845,0.2451520779797619,222658.81745784782,897145.0819512247,1342462.7168669202,897145.0819512247,Buyers
GTM,Global,80394.93260764745,1135158.0374450684,99224.60305129283,68571.11455842435,334031.8514902618,84033.73610762176,33.44065754074376,NA,116.45780417424845,0.2451520779797619,1376975.8869683687,-2178102.072923175,575849.701013562,575849.701013562,Sellers
VCT,Global,24149.04095776415,384437.5922241211,26967.97896840928,22137.578813417604,270013.7925768589,24716.008629259413,56.88588272409891,NA,116.45780417424845,0.2451520779797619,234250.46451022412,-348674.2641574863,119826.66486296192,119826.66486296192,Sellers
FJI,Global,974634.6573723133,7314859.872833252,1130817.0679011783,816606.8035471104,648214.1193092876,945879.7154451911,5.107556041231949,NA,116.45780417424845,0.2451520779797619,18403576.85485224,-25070222.608376205,11736931.101328276,11736931.101328276,Sellers
WSM,Global,93198.51725328881,597321.4465942383,119843.49781554953,81003.93127059616,159906.10852016284,104121.21032624537,10.233975069566231,NA,116.45780417424845,0.2451520779797619,1420154.7063584554,-1857570.0444325306,982739.36828438,982739.36828438,Sellers
