iso3,global,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,rect,mkt_tc_b,mkt_tc_s,savings,transaction
SOM,Global,682648.2273705977,13690380.335998535,763771.7248251969,563777.8259573057,1567565.2613968425,629515.9952780209,32.164278904109274,NA,521.603311252745,62003194.987116046,-74126010.06171773,49880379.91251435,49880379.91251435,Sellers
COL,Global,621431.6008769021,13751393.020309448,712436.4311014661,511356.25599893695,396770.72425311577,582031.9371075695,16.085759062622117,NA,521.603311252745,57415664.375634514,-70770286.67169085,44061042.07957818,44061042.07957818,Sellers
MUS,Global,1603167.8162117566,8101271.670875549,1805173.853135117,1326818.541273124,863210.4167571991,1500885.522647863,6.332492321949795,NA,521.603311252745,144144696.87028593,-151382758.12440428,136906635.61616758,136906635.61616758,Sellers
NFK,Global,300518.61028152506,1952106.1371307373,337847.3548750002,239823.2999311722,44088.97648645105,268964.4998734308,1.3364647703990986,NA,521.603311252745,31658874.856257062,-33566892.01690135,29750857.695612777,29750857.695612777,Sellers
SLE,Global,119890.56915797695,5910559.257865906,134521.46929583573,118512.90104110277,5205311.8370127175,134521.46929583573,511.9138725902578,NA,521.603311252745,718596.251568905,-1423843.6724220933,13348.830715716816,13348.830715716816,Sellers
CXR,Global,293152.56426428934,2027000.4344177246,325929.72236933396,240385.10269671722,663229.5654350183,268314.68381165987,15.327377777005402,NA,521.603311252745,27523682.68004758,-28887453.549030285,26159911.811064873,26159911.811064873,Sellers
CCK,Global,395793.933212674,878776.0686950684,448256.53115923144,324551.02523439267,55357.20175978478,370117.8706452752,0.2855312141734254,NA,521.603311252745,37160536.70474614,-37983955.571681425,36337117.83781086,36337117.83781086,Sellers
PRT,Global,1182007.3704837116,20156899.215499878,1370694.7965797938,1031995.0200255875,6507990.44741052,1196476.593035812,16.11223872784784,NA,521.603311252745,78246938.72776476,-91895847.49585411,64598029.9596754,64598029.9596754,Sellers
PAN,Global,229346.67647349573,5642228.770004272,279882.34722164914,217393.08873786437,2888685.70989156,267725.77952160744,139.06269336513517,NA,521.603311252745,6235030.944255519,-8988574.00436823,3481487.8841428063,3481487.8841428063,Sellers
IND,Global,1324052.5349321272,35751978.420791626,1603640.832777228,1533237.6798795864,475272493.3177798,1852936.0548395303,4277.175729070962,NA,521.603311252745,109111664.26948015,330408850.627508,548632179.1664683,330408850.627508,Buyers
VUT,Global,531707.0209126187,6656657.619857788,607179.9280177634,435999.75714834733,626518.8565699918,500925.19113901176,14.214453166686505,NA,521.603311252745,49921225.690383814,-55951364.45367161,43891086.92709602,43891086.92709602,Sellers
KEN,Global,96848.99000519859,6787248.497314453,104431.6106247009,79416.17180426283,644181.929122029,85994.23670271553,182.78713069037406,NA,521.603311252745,9093015.69807521,-15236082.266267635,2949949.1298827864,2949949.1298827864,Sellers
NIC,Global,138631.85505433512,11479540.437011719,162026.88292449462,145476.85917371977,16920980.313831344,171013.8304328458,990.9488944415335,NA,521.603311252745,3570376.8142097164,1871063.062609909,9011816.691029342,1871063.062609909,Buyers
JPN,Global,2456395.043487338,71693117.5395813,2715886.8139015585,2484943.6298673665,89054760.00541307,2749267.5364322383,708.553713180216,NA,521.603311252745,14891037.187407952,2470605.2784238197,32252679.653239727,2470605.2784238197,Buyers
ESP,Global,577811.8264714614,26874172.07345581,685714.9910920504,641370.6604640868,80483128.3480645,757707.4801036209,1011.4983790158045,NA,521.603311252745,33152498.269916914,20456458.004691772,86761454.5445256,20456458.004691772,Buyers
BEN,Global,33316.46889488962,1001911.2224731445,36799.62324416253,31920.01870071394,529566.1823098164,36799.62324416253,338.2469651501963,NA,521.603311252745,728393.0452815747,-1200738.085444903,256048.00511824654,256048.00511824654,Sellers
COD,Global,10663.987893307405,664803.2722473145,12230.359148109052,8744.470072512071,114024.70922059659,12230.359148109052,286.9358945563256,NA,521.603311252745,1001226.8513354994,-1552005.4143622173,450448.2883087816,450448.2883087816,Sellers
TLS,Global,51417.09626790594,1678341.8121032715,57598.11160427227,58306.398747528365,6688867.027674644,66683.31760413568,902.3737513525488,NA,521.603311252745,3593482.985592805,1417042.229978568,8604008.201164179,1417042.229978568,Buyers
GTM,Global,84870.0854492905,1819702.0061950684,105203.89405846228,74971.08525054394,643202.4118175202,93239.08158713649,77.6325123046884,NA,521.603311252745,5163351.28175779,-6339850.876135338,3986851.687380241,3986851.687380241,Sellers
VCT,Global,29516.77175122347,2092756.404724121,32965.7344060964,24203.75283600324,395226.1666988384,29963.854928980887,197.18888881078686,NA,521.603311252745,2771288.2589273388,-4468818.496952621,1073758.020902056,1073758.020902056,Sellers
FJI,Global,1088809.0713961471,40141122.90408325,1253978.3476886556,892823.4385448406,1704088.4941978205,1036659.105139193,25.55102678330463,NA,521.603311252745,102226755.05320628,-140663789.4630917,63789720.64332085,63789720.64332085,Sellers
WSM,Global,105362.7186642933,5518230.071594238,134797.72929798233,88564.29818918517,356698.6535554491,116860.30926142941,43.51925267858351,NA,521.603311252745,8762111.74363231,-13923643.161671098,3600580.32559352,3600580.32559352,Sellers
LBR,Global,222977.6501132431,8962478.343322754,245571.4879416717,185203.22890589814,999389.8899620252,205725.07732029326,53.62178103591625,NA,521.603311252745,19703263.182407036,-27666351.635767765,11740174.729046308,11740174.729046308,Sellers
GLP,Global,73750.78488067014,1928503.8503417969,82531.52943438411,65029.96996503542,81177.22287826981,73658.85522556533,6.801655739129163,NA,521.603311252745,4548805.936817395,-6396132.564280922,2701479.3093538675,2701479.3093538675,Sellers
GUF,Global,96643.25893842055,5051557.299743652,116108.79123666692,84867.57044925485,2147850.4659313965,100800.04427097797,194.0242477360597,NA,521.603311252745,6142238.108229661,-9045944.942041917,3238531.2744174055,3238531.2744174055,Sellers
PAK,Global,115692.92110560385,4121421.1795043945,138704.30529760662,146848.92785080837,89088866.59038645,178025.9692659352,5821.861661859679,NA,521.603311252745,16251076.283711536,68716369.12717052,101218521.6945936,68716369.12717052,Buyers
PRK,Global,52100.45000938287,1570755.1475219727,63567.580443051564,84799.81082031367,80017465.50135687,104022.02305262703,3799.018996022407,NA,521.603311252745,17056094.87482975,61390615.47900514,95502805.22866465,61390615.47900514,Buyers
BRA,Global,2266361.582792065,97677351.72821045,2716458.5076083983,2295011.854429568,113906921.36320987,2754085.092193801,609.9229637519051,NA,521.603311252745,14944076.5544122,1285493.080587225,31173646.189411625,1285493.080587225,Buyers
LBY,Global,274483.48802416405,21732752.113098145,353301.78895876213,230268.50209781298,5830699.415432395,301210.03659593133,270.56045800863694,NA,521.603311252745,23062683.06617824,-38964735.76384399,7160630.368512491,7160630.368512491,Sellers
PER,Global,603092.657086531,10097642.409301758,686885.021900131,578523.453549943,3644846.1865867316,659822.6662806048,83.34890830590393,NA,521.603311252745,12815377.919526955,-19268174.14224198,6362581.696811929,6362581.696811929,Sellers
MEX,Global,1929866.1215530648,39733135.98962402,2239159.734305384,1927066.2614273343,38335233.488189876,2236330.8923557387,490.9433659357753,NA,521.603311252745,1460416.3126255623,-2858318.8140597097,62513.81119141728,62513.81119141728,Sellers
LKA,Global,391691.83163572376,4629281.002075195,458416.7079398162,367240.7184124559,2052470.3600239893,430879.15169048856,21.661144073974615,NA,521.603311252745,12753781.621072283,-15330592.26312349,10176970.979021076,10176970.979021076,Sellers
TZA,Global,178643.00412486258,2349449.344116211,192326.9073940438,180242.4703330355,3788135.74725549,195360.01921067855,899.4790860775297,NA,521.603311252745,834286.8704198742,604399.532719405,2272973.2735591535,604399.532719405,Buyers
GRD,Global,23903.49973947771,3236729.3138427734,27062.213717887716,19600.86978637172,1865427.808781987,24054.558096178476,291.01372565760835,NA,521.603311252745,2244266.0306353266,-3615567.535696113,872964.5255745403,872964.5255745403,Sellers
NCL,Global,995602.0265572122,6824628.611938477,1102032.0579209854,816393.661776914,1475752.6849584114,903821.7409300336,9.27622522477443,NA,521.603311252745,93475676.47359335,-98824552.40057342,88126800.54661329,88126800.54661329,Sellers
UMI,Global,1488161.0103109688,8412215.596435547,1668739.0301869095,1220292.0284549943,3317714.3376308335,1370410.3069334137,5.144076023247831,NA,521.603311252745,139721347.91797778,-144815849.1767825,134626846.65917307,134626846.65917307,Sellers
SLV,Global,67853.77055344863,3121089.7670898438,81352.7000745308,61439.05840875682,923118.0644481158,75360.9481533876,245.05827466882053,NA,521.603311252745,3345935.0954044457,-5543906.7980461735,1147963.3927627178,1147963.3927627178,Sellers
MMR,Global,172826.04957081526,4635077.46862793,219265.97370914667,303014.9067248014,384552742.2042711,400764.84371114185,5042.060138229055,NA,521.603311252745,67906938.9797298,312010725.7559134,447824603.7153729,312010725.7559134,Buyers
BGD,Global,28308.136951125183,175373.71350097656,34882.857681738824,65990.30677276735,249924044.13313118,86613.77563976233,10223.95167636342,NA,521.603311252745,19655144.554156814,230093525.8654734,269403814.973787,230093525.8654734,Buyers
TGO,Global,11056.788701996207,310839.36376953125,12272.431304208223,9066.566735636889,209458.8483591675,12272.431304208223,50.93930080362721,NA,521.603311252745,1038106.36778097,-1139486.8831913336,936725.8523706062,936725.8523706062,Sellers
SPM,Global,7374.609321053145,1333368.4470214844,8774.367844382929,13516.748512892795,7544098.08807988,17281.040163072234,1694.6428181658416,NA,521.603311252745,3203760.1406388204,3006969.5004195753,9414489.781697216,3006969.5004195753,Buyers
NGA,Global,99416.40045364187,1196921.1096191406,110542.83474658168,128258.98714136326,112766852.07722457,147345.48500213298,6452.603910653891,NA,521.603311252745,15044388.721409826,96525542.2461956,126614319.68901525,96525542.2461956,Buyers
PRI,Global,129340.12249445381,6235187.435302734,146505.10426558112,112745.96864887208,1466127.911290916,128990.11312178288,164.96065450615862,NA,521.603311252745,8655565.593292905,-13424625.117304724,3886506.0692810863,3886506.0692810863,Sellers
REU,Global,268029.1495568013,2357964.8803710938,300210.6304542479,219783.90263657706,460327.9423834497,248527.98887641047,3.1928463410487016,NA,521.603311252745,25164880.545795266,-27062517.48378291,23267243.60780762,23267243.60780762,Sellers
MOZ,Global,494272.29693520215,50192886.596191406,532681.1989940015,417186.4112613737,16671157.29160848,448812.17980484536,374.6212586550083,NA,521.603311252745,40208253.218319446,-73729982.52290237,6686523.91373652,6686523.91373652,Sellers
GUM,Global,164999.34615027218,1221253.8466796875,203952.15345596682,135299.46384322317,410524.76653178997,167911.49581003742,9.63396639121475,NA,521.603311252745,15491556.955173576,-16302286.035321474,14680827.875025678,14680827.875025678,Sellers
VEN,Global,303539.32457818877,14131443.253173828,335056.78823830705,334449.7530726433,39117678.84265286,371245.78676331864,973.3787056452203,NA,521.603311252745,16122981.854948688,8863253.73453034,41109217.444427714,8863253.73453034,Buyers
TUV,Global,537964.0445047229,5292757.0107421875,691830.693870612,441130.5164938728,1761760.752887146,573076.6358149645,8.574855307012673,NA,521.603311252745,50508688.850744866,-54039685.10859991,46977692.59288982,46977692.59288982,Sellers
MDV,Global,659354.8781990074,8702668.949707031,798354.4356375013,623414.081558891,4073591.515174904,755330.2726382148,35.907332605536574,NA,521.603311252745,18746838.536546234,-23375915.971078362,14117761.102014106,14117761.102014106,Sellers
MTQ,Global,42709.86979201706,2632218.7087402344,47587.29412892145,37276.192288027814,751984.0768762041,44610.78855233663,344.7923026601873,NA,521.603311252745,2834224.178360341,-4714458.810224371,953989.5464963109,953989.5464963109,Sellers
KIR,Global,2793140.749197426,52837764.22314453,3238273.0430525206,2304110.7218251307,11757165.022097034,2673248.4844452017,10.15651631617529,NA,521.603311252745,255079681.57940963,-296160280.78045714,213999082.37836212,213999082.37836212,Sellers
ASM,Global,283843.408944056,6828114.778076172,373616.4890125347,232751.59533412592,785456.8967902956,307813.9588519298,5.313471190353763,NA,521.603311252745,26649659.156847607,-32692317.038133483,20607001.27556173,20607001.27556173,Sellers
BES,Global,21959.467799761253,2096705.6943359375,23769.234349761995,17523.954538140482,1013029.6515454868,20837.545153835963,163.70485332723155,NA,521.603311252745,2313578.404366857,-3397254.4471573075,1229902.3615764063,1229902.3615764063,Sellers
GNQ,Global,264980.4140654332,3085563.2060546875,288976.3904541655,222563.00072523527,806592.6326567167,239815.0162130239,16.322789484746334,NA,521.603311252745,22125063.253023602,-24404033.826421574,19846092.67962563,19846092.67962563,Sellers
COM,Global,143675.9160315281,2062331.9169921875,153835.94629307112,127401.54152122901,433472.6907648556,138805.49271887666,5.824609857185449,NA,521.603311252745,8488767.633139271,-10117626.859366603,6859908.406911939,6859908.406911939,Sellers
SYC,Global,1089023.6101175637,47344892.29394531,1184003.5991189925,892466.7846204046,4315999.058809813,976214.1996847368,18.37496248200544,NA,521.603311252745,102524691.02864619,-145553584.26378167,59495797.79351069,59495797.79351069,Sellers
GIN,Global,50883.03093109206,3066007.5561523438,54740.2203322834,69091.98128238595,23450696.39099868,75975.71766392955,1748.3718386425608,NA,521.603311252745,9497848.797671732,10886840.037174605,29882537.632518068,10886840.037174605,Buyers
FRA,Global,500195.92410729,8653631.018066406,567423.3561131454,556532.0434901163,74606630.64509083,634857.5187231746,1479.073653921733,NA,521.603311252745,29385106.413212128,36567893.2138123,95338106.04023656,36567893.2138123,Buyers
GNB,Global,62703.404381546534,4354474.724609375,66597.1714601038,79074.24250564682,16543426.568786,84702.53906127892,876.8339825212084,NA,521.603311252745,8539083.373513386,3649868.47066324,20728035.217690013,3649868.47066324,Buyers
MDG,Global,1012233.0485527844,63700033.28564453,1097506.9608360284,887606.6751852722,14555196.676161937,969286.2305539267,266.71435363283143,NA,521.603311252745,65005529.01791524,-114150365.62739784,15860692.408432648,15860692.408432648,Sellers
VIR,Global,31711.67988555512,155928.21923828125,35289.10738796718,30399.744543576708,130324.81446931616,35289.10738796718,19.515751996096753,NA,521.603311252745,684309.8185254426,-709913.2232944077,658706.4137564775,658706.4137564775,Sellers
DMA,Global,29384.17008345508,1753564.5078125,32629.000523304818,24095.019468433162,124728.59040527913,29659.40347149412,224.56959027629927,NA,521.603311252745,2758838.474509925,-4387674.391917146,1130002.5571027042,1130002.5571027042,Sellers
NRU,Global,252689.37544087978,2785091.4965820312,310654.3524364456,207205.2878615214,844121.6626393487,255300.1094292801,9.91199247646625,NA,521.603311252745,23724650.690703176,-25665620.524645858,21783680.856760494,21783680.856760494,Sellers
MHL,Global,1601663.6008541803,15076071.439941406,1866459.6069749543,1312342.356553577,5086401.853818408,1539225.1870224017,4.943057893153869,NA,521.603311252745,150910919.04295912,-160900588.6290821,140921249.45683613,140921249.45683613,Sellers
PLW,Global,483952.03205098613,5299785.6650390625,589949.5245929465,396840.6662818087,1627197.050527368,489028.17136695614,6.909939279981043,NA,521.603311252745,45437576.83295198,-49110165.44746368,41764988.21844029,41764988.21844029,Sellers
ECU,Global,876264.6589892242,34788111.986328125,971599.9864345334,783312.7693306379,20044659.01925892,870099.7140325204,47.2998653423584,NA,521.603311252745,48484013.43311843,-63227466.40018764,33740560.466049224,33740560.466049224,Sellers
SLB,Global,1134018.322570066,28913621.548828125,1366675.5327612476,929895.0245074539,7939983.642849039,1132740.5275235018,46.91617355846073,NA,521.603311252745,106471388.1732895,-127445026.07926857,85497750.26731041,85497750.26731041,Sellers
LCA,Global,5367.796179280147,836752.1552734375,5979.291007169456,6637.102105645412,1567969.5358260483,8968.936510754183,576.0765512586053,NA,521.603311252745,662074.1741848551,69143.20636775577,1393291.554737466,69143.20636775577,Buyers
IRN,Global,29403.161416536183,2053624.6948242188,36439.34147320415,100170.36011318915,98363591.06399636,124291.41894598058,2112.764448104369,NA,521.603311252745,36912405.16825513,59397561.20091701,133222371.53742728,59397561.20091701,Buyers
BRN,Global,21622.586091813624,2589242.7939453125,27515.872588431033,29858.515750588784,10753407.513480473,39765.751228013556,1870.6268204168612,NA,521.603311252745,4295888.181261813,3868276.5382733475,12460052.900796974,3868276.5382733475,Buyers
FSM,Global,2133089.0762867825,33386731.891601562,2660636.12006438,1749133.0425551618,12357384.499610296,2190885.8149631107,10.389723614057928,NA,521.603311252745,200272738.56988406,-221302085.96187532,179243391.1778928,179243391.1778928,Sellers
