iso3,province,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,rect,mkt_tc_b,mkt_tc_s,savings,transaction
MNP,Tropical Northwestern Pacific,550561.0607182146,1070085.2391505241,639016.1553460323,311298.225561421,267997.9477086122,356637.51350247284,2.3989035857694656,NA,6.255583895412507,1496728.7383775755,-2298816.0298194876,694641.4469356636,694641.4469356636,Sellers
TWN,South China Sea,142450.03482819872,6260993.423225403,159383.25167382578,101458.0282658307,686300.1320929542,116086.49080280655,36.98414032320207,NA,399.77343387279996,16387515.224774217,-21962208.515906665,10812821.933641769,10812821.933641769,Sellers
SHN,St. Helena and Ascension Islands,397128.53593992215,10788.994114569123,440178.4695985558,397128.53593992215,10788.994114569123,440178.4695985558,0.10613523267716654,NA,0.10613523267716654,0,0,0,0,Doesn't participate
CHL,Easter Island,143565.18147690146,2539.669595488779,193361.10255951446,143565.18147690146,2539.669595488779,193361.10255951446,0.026468010874561333,NA,0.026468010874561333,0,0,0,0,Doesn't participate
BHS,Tropical Northwestern Atlantic,230199.16910065056,14508.583093643188,279995.31196494575,247588.0977689734,91493.3336537332,301645.42127276777,6.823454434073661,NA,2.084526615235528,36247.68461955109,40737.06594053893,113232.4351796411,40737.06594053893,Buyers
JAM,Tropical Northwestern Atlantic,169722.1882720235,27454.159682273865,191944.5521021337,112158.1546440282,2474.4049950567455,127072.11957527106,0.05279658010522824,NA,2.084526615235528,119993.76017786915,-144973.51486508627,95014.00549065202,95014.00549065202,Sellers
AIA,Tropical Northwestern Atlantic,57896.77814238075,1591.1785192489624,69394.10023539259,39875.694322002826,572.9925159831948,49132.3993140786,0.023707044870172094,NA,2.084526615235528,37565.42885896813,-38583.614862233895,36547.24285570237,36547.24285570237,Sellers
CRI,Tropical East Pacific,346951.6745176459,94610.22963047028,400390.42494269897,235171.51019804797,12587.819717736595,271934.68915929383,0.2551499411847118,NA,2.586032853642786,289067.1773160694,-371089.5872288031,207044.76740333575,207044.76740333575,Sellers
TCA,Tropical Northwestern Atlantic,48354.28424750721,5197.58731174469,62311.567126412665,35584.35854062415,525.4485882022883,48097.74265898611,0.024049651594707185,NA,2.084526615235528,26619.25001057811,-31291.38873412051,21947.11128703571,21947.11128703571,Sellers
CYM,Tropical Northwestern Atlantic,88798.30546558768,4661.409663200378,107635.82052165201,47627.02151265198,699.4818268005376,58304.032666301195,0.023578898777733732,NA,2.084526615235528,85822.63718331385,-89784.5650197137,81860.70934691401,81860.70934691401,Sellers
ISL,Arctic,36534.21199668942,127369.02815485,44098.24147321379,94927.47904064304,3943836.885179369,112659.0900086246,127.20021344110347,NA,11.290697565467813,659300.7180528791,3157167.13897164,4475768.575077398,3157167.13897164,Buyers
ATG,Tropical Northwestern Atlantic,67926.48769646337,4549.773719787598,78662.45326122029,47852.230599445684,641.6587757422607,58226.01613246098,0.01910230445740195,NA,2.084526615235528,41845.32319981406,-45753.4381438594,37937.208255768724,37937.208255768724,Sellers
DOM,Tropical Northwestern Atlantic,178999.53195531142,188193.87184619904,209858.2872419301,113311.82073023423,93952.49315873909,133939.2342930758,1.2607037253068698,NA,2.084526615235528,136927.78234257895,-231169.1610300389,42686.40365511901,42686.40365511901,Sellers
COG,Gulf of Guinea,16418.97435173535,19194.64826965332,18370.866803048903,13349.676173951313,9235.497166638903,15306.421564990833,3.22271201309689,NA,9.552862059811298,29320.58211280107,-39279.73321581549,19361.43100978665,19361.43100978665,Sellers
GAB,Gulf of Guinea,112651.1796672812,423533.27517318726,122786.66714149018,91650.46401744316,288196.03208934824,101270.19129976013,4.518324988666114,NA,9.552862059811298,200616.9397602233,-335954.18284406234,65279.69667638428,65279.69667638428,Sellers
HTI,Tropical Northwestern Atlantic,63379.48903875467,12779.465953826904,73395.53249528515,42822.59552072623,654.4055873701744,50064.62114570341,0.052511479745718966,NA,2.084526615235528,42851.39166489299,-54976.45203134972,30726.331298436256,30726.331298436256,Sellers
AUS,Tropical Southwestern Pacific,325668.1246430464,43843.33688735962,358604.847454954,198822.0833054082,8573.895620714413,220907.51877874864,0.08273158995770864,NA,0.9079903859964108,115174.9860362788,-150444.427302924,79905.54476963359,79905.54476963359,Sellers
