iso3,hemisphere,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,rect,mkt_tc_b,mkt_tc_s,savings,transaction
CXR,SE,181098.87128747988,32389.639739990234,201965.79176542544,82082.71799400102,10571.594836563067,93493.04518817156,0.16712857092889802,NA,0.49235518236642634,48751.11621203281,-70569.16111545998,26933.071308605642,26933.071308605642,Sellers
CCK,SE,334281.200382638,58258.11373901367,379110.3656317638,110822.30129954872,13425.012850023422,126574.51253280336,0.14984853576040555,NA,0.49235518236642634,110021.1470094553,-154854.24789844555,65188.04612046504,65188.04612046504,Sellers
PRT,NW,198404.0732061903,240270.13200378418,225211.83999454774,348146.38903936266,639573.2077350359,395769.6868031277,3.2731681949494846,NA,2.0326589616219333,304375.0602123197,94928.01551893202,703678.1359435715,94928.01551893202,Buyers
PAN,NW,115133.56408553822,112228.75291442871,142586.71675676352,70982.43763183328,42614.064707737074,90652.29560679734,1.044275134282124,NA,2.0326589616219333,89744.18285182655,-159358.87105851818,20129.494645134917,20129.494645134917,Sellers
IND,NE,339355.4092687864,1298041.4295806885,404432.3818526709,521733.5232676123,2756323.8223056183,622997.7546624296,9.335053558121057,NA,6.258382183096456,1141391.9392369867,316890.45348794316,2599674.3319619168,316890.45348794316,Buyers
VUT,SE,289936.47364982724,74566.50584411621,330444.49601521227,148877.96585553326,27182.771891674474,171581.99294999425,0.23994731879635706,NA,0.49235518236642634,69450.88732939558,-116834.62128183732,22067.153376953847,22067.153376953847,Sellers
KEN,SE,57283.84695096505,8337.429443359375,61426.581524691035,27117.717201455605,2913.271172512806,30720.502589809057,0.13129193850182794,NA,0.49235518236642634,14852.450314109003,-20276.60858495557,9428.292043262434,9428.292043262434,Sellers
NIC,NW,68703.18924919306,32023.2734375,81196.59376593387,47913.27449552155,12805.265446183785,57175.824647761285,0.412515596312471,NA,2.0326589616219333,42258.806535406446,-61476.814526722665,23040.79854409023,23040.79854409023,Sellers
JPN,NE,988735.6512441917,1920182.1304016113,1071849.6162226924,846782.9871962101,1140235.9100211065,919266.1050915072,4.913915343225422,NA,6.258382183096456,888394.023520965,-1668340.2439014697,108447.80314046016,108447.80314046016,Sellers
ESP,NW,171628.092544223,289562.5752580802,42461.62977789947,171628.092544223,961982.3379591131,200029.5721362382,10.32437778179791,NA,2.0326589616219333,0,672419.7627010329,672419.7627010329,672419.7627010329,Buyers
BEN,NE,25064.128629142648,11126.265441894531,27613.958165177868,10899.51858073159,2271.185575853374,12278.710126404934,0.32574334152770273,NA,6.258382183096456,88647.54315748479,-97502.62302352594,79792.46329144364,79792.46329144364,Sellers
COD,SE,8354.02768067918,1992.7722473144531,9171.259344304224,2985.9166101260744,410.1625066381381,6112.159540499396,0.13928047749206612,NA,0.49235518236642634,2643.0173051054066,-4225.627045781722,1060.4075644290915,1060.4075644290915,Sellers
TLS,SE,7745.71925602601,2227.8931579589844,9108.1429994299815,19909.502011351153,179708.91119699276,24286.453861884554,19.48981933534726,NA,0.49235518236642634,5988.901476763703,171492.11656227006,183469.9195157975,171492.11656227006,Buyers
GTM,NW,56160.16156883338,24926.16146850586,69166.43082545865,25599.88276847842,5606.4050468961095,33099.94536515064,0.26218157199069547,NA,2.0326589616219333,62118.62457320629,-81438.38099481603,42798.868151596536,42798.868151596536,Sellers
VCT,NW,8034.867149965102,6267.341247558594,8999.407542852456,8264.696090342572,6985.433396294121,11989.053046437184,3.1244635577927533,NA,2.0326589616219333,467.16385529833684,250.92829343719035,1185.256004033864,250.92829343719035,Buyers
FJI,SE,310254.0719014823,108352.96755981445,358253.6259449596,232405.94971161074,72967.26794753778,267447.92788280256,0.4229955309641819,NA,0.49235518236642634,38328.92639767805,-73714.62600995472,2943.226785401377,2943.226785401377,Sellers
WSM,SW,51275.02914441565,12937.211730957031,65869.04691810808,30241.467674355907,6763.148169410874,41954.14683608503,0.2642740606433378,NA,0.3494474080244459,7350.12353723523,-13524.187098781387,1176.0599756890733,1176.0599756890733,Sellers
LBR,NW,147244.1712965344,51065.809143066406,162703.9922638149,63240.12694347743,15619.199234200323,70632.24840298039,0.2864614087433099,NA,2.0326589616219333,170751.5735667276,-206198.1834755937,135304.96365786152,135304.96365786152,Sellers
GLP,NW,52155.93918893855,28651.702392578125,58854.120487899076,22205.355597816975,5649.465422539736,26455.451305866118,0.4764890718826001,NA,2.0326589616219333,60879.322142300094,-83881.55911233848,37877.08517226171,37877.08517226171,Sellers
GUF,NW,42904.73455116661,34924.473571777344,48845.96562241626,28979.170397306552,15598.809989339263,33576.24475252081,0.8346404177528536,NA,2.0326589616219333,28305.922772984806,-47631.586355422885,8980.259190546725,8980.259190546725,Sellers
PAK,NE,84885.46050825457,63390.36505126953,101901.05097914391,50143.53633930043,17693.797451984083,62217.41938962203,0.4181557297134662,NA,6.258382183096456,217428.23922547078,-263124.8068247562,171731.67162618533,171731.67162618533,Sellers
PRK,NE,20862.365533236305,16929.951232910156,25783.825845335174,28956.03296303394,80428.52349634736,37559.57385128845,10.826820117996574,NA,6.258382183096456,50653.26403855361,12845.3082248836,114151.83630199081,12845.3082248836,Buyers
FJI,SW,12876.397278386103,4127.6768798828125,14419.211077440226,72460.5902793105,34287.728592635336,84176.76166801041,0.753234607621203,NA,0.3494474080244459,20821.541803401364,9338.50990935116,50981.59351615389,9338.50990935116,Buyers
BRA,NW,143950.99641282496,196962.8178100586,156845.89607742362,139784.14404115087,189130.4915686045,153769.35468389455,1.8731232229243606,NA,2.0326589616219333,8469.789815038945,-16302.116056493025,637.4635735848569,637.4635735848569,Sellers
LBY,NE,128835.7066509007,161248.59942626953,169918.9282100602,78628.26900900932,49180.059989795715,105405.37455111185,0.9355925171639238,NA,6.258382183096456,314217.3331969393,-426285.8726334131,202148.79376046552,202148.79376046552,Sellers
PER,SW,0,0,NA,197544.59389510253,95047.04780823931,222383.0178193247,0.5456072996405514,NA,0.3494474080244459,69031.44630588536,26015.60150235395,164078.49411412468,26015.60150235395,Buyers
MEX,NW,674389.3001949737,870311.2415771484,776769.9959691964,480087.97722377075,524996.3630527304,553685.3132461183,1.5384307347170956,NA,2.0326589616219333,394948.3253924133,-740263.2039168313,49633.44686799531,49633.44686799531,Sellers
LKA,NE,287271.5202013949,1242465.8956298828,336190.3381283046,125399.26970181424,332868.2699174902,149671.98301845472,5.252867544307193,NA,6.258382183096456,1013058.4084643023,-1922656.034176695,103460.78275190969,103460.78275190969,Sellers
TZA,SE,0,0,NA,61546.20938201214,37167.081155175736,67227.32784064692,0.6857647786525178,NA,0.49235518236642634,30302.595144242845,6864.486010932891,67469.67629941858,6864.486010932891,Buyers
GRD,NW,5407.547032727585,3015.2288818359375,6009.53509882476,6692.979927053759,6580.81292948484,9011.414575940278,2.77383911940264,NA,2.0326589616219333,2612.846692215716,952.7373554331871,6178.430739864619,952.7373554331871,Buyers
BRA,SW,0,0,NA,639349.5815202371,1369789.1617635102,766734.9928755972,3.2365868239321,NA,0.3494474080244459,223419.05408376106,1146370.1076797491,1593208.2158472713,1146370.1076797491,Buyers
NCL,SE,0,0,NA,278768.5674360194,226876.45846340992,309940.81168302137,0.9157455567703231,NA,0.49235518236642634,137253.14885798877,89623.30960542115,364129.6073213987,89623.30960542115,Buyers
UMI,NW,150974.5249707295,251188.7440185547,169290.64252627952,229477.76328078427,418614.65198682377,259957.8439943948,2.241639757646372,NA,2.0326589616219333,159570.31086727514,7855.5971009939385,326996.2188355442,7855.5971009939385,Buyers
SLV,NW,48280.736813752046,41967.43017578125,57290.69724569235,20979.19067616087,14849.405099486663,27160.711487803073,0.7920231548847955,NA,2.0326589616219333,55494.732422709385,-82612.75749900397,28376.707346414798,28376.707346414798,Sellers
UMI,SW,0,0,NA,93325.0493180564,160046.6984132669,104582.1613444292,2.097134562284207,NA,0.3494474080244459,32612.19658794839,127434.5018253185,192658.89500121528,127434.5018253185,Buyers
