iso3,hemisphere,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
PRK,NE,36432.523211496795,172913.64166259766,44631.94326774376,44468.19347894498,363056.45362745493,54350.23736677862,31.039164817108915,NA,13.831359285067423,0.16379891564702276,111144.24256540969,78998.56939944759,301287.05453026696,78998.56939944759,Buyers
FJI,SW,130319.32683641363,96007.33288574219,148221.92480464914,111278.76364322682,69039.47929673885,126461.28806118056,1.1759252181024507,NA,1.9925651417813481,0.606415319087619,37939.562498629,-64907.41608763234,10971.70890962566,10971.70890962566,Sellers
BRA,NW,253043.317831391,510030.01556396484,276715.4182547889,215715.60269567624,379588.871248763,235265.56537421755,3.1103032316300836,NA,3.923656497123976,0.34990833533554755,146461.13201504023,-276902.27633024205,16019.987699838413,16019.987699838413,Sellers
LBY,NE,144533.92435596065,346121.22637939453,190304.0078107395,120750.55597812144,122124.1603446327,159523.28915566052,4.067377195818715,NA,13.831359285067423,0.16379891564702276,328956.31304300536,-552953.3790777673,104959.24700824353,104959.24700824353,Sellers
PER,SW,484630.4254912701,300461.14709472656,549741.9310745981,303372.05491033604,155451.0843766747,341011.70121878403,0.6183575018341946,NA,1.9925651417813481,0.606415319087619,361169.11087565497,-506179.1735937068,216159.0481576031,216159.0481576031,Sellers
MEX,NW,1175760.1718650835,2384895.301147461,1360714.24223845,882026.3895025387,1380792.4963486043,1019024.9440604703,2.8412054377987324,NA,3.923656497123976,0.34990833533554755,1152510.463591599,-2156613.2683904553,148407.6587927423,148407.6587927423,Sellers
LKA,NE,355348.76637613215,1865754.4083251953,415605.148883141,192577.4498992147,693810.345538811,225509.35538455352,5.472726184469663,NA,13.831359285067423,0.16379891564702276,2251348.55949566,-3423292.6222820445,1079404.4967092755,1079404.4967092755,Sellers
TZA,SE,147646.52015047226,116527.48376464844,158780.54381757643,94517.39297951863,60797.95739585628,101545.45852484528,0.7385789507170749,NA,3.184158393777576,0.6177285385929996,169171.5562354683,-224901.08260426047,113442.02986667615,113442.02986667615,Sellers
GRD,NW,8109.699045981928,10510.563842773438,9011.414575940278,10278.504887975414,176689.21081801233,11449.724865398948,76.62218708452649,NA,3.923656497123976,0.34990833533554755,8509.649132938177,157668.9978423007,174688.29610817708,157668.9978423007,Buyers
BRA,SW,279151.7229679456,413394.8190917969,329215.83293306216,984495.3808846507,2684713.5645231213,1177632.1978167354,4.3667602175499285,NA,1.9925651417813481,0.606415319087619,1405443.1857413743,865875.5596899502,3676761.9311726987,865875.5596899502,Buyers
NCL,SE,719491.3107093294,792495.8746337891,794615.8899423226,428108.87141960126,370679.35339296266,472600.88676040055,1.0107239513226158,NA,3.184158393777576,0.6177285385929996,927807.8398637729,-1349624.3611045992,505991.31862294645,505991.31862294645,Sellers
