iso3,iso3n,ecoregion,eco_code,province,pro_code,realm,rlm_code
LCA,662,Eastern Caribbean,20064,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
MAF,663,Eastern Caribbean,20064,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
MSR,500,Eastern Caribbean,20064,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
MTQ,474,Eastern Caribbean,20064,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
PRI,630,Eastern Caribbean,20064,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
SXM,534,Eastern Caribbean,20064,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
TTO,780,Eastern Caribbean,20064,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
VCT,670,Eastern Caribbean,20064,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
VEN,862,Eastern Caribbean,20064,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
VGB,92,Eastern Caribbean,20064,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
VIR,850,Eastern Caribbean,20064,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
CRI,188,Eastern Galapagos Islands,20173,Galapagos,44,Tropical Eastern Pacific,8
ECU,218,Eastern Galapagos Islands,20173,Galapagos,44,Tropical Eastern Pacific,8
IND,356,Eastern India,20107,Bay of Bengal,23,Western Indo-Pacific,5
LKA,144,Eastern India,20107,Bay of Bengal,23,Western Indo-Pacific,5
IDN,360,Eastern Philippines,20127,Western Coral Triangle,30,Central Indo-Pacific,6
PHL,608,Eastern Philippines,20127,Western Coral Triangle,30,Central Indo-Pacific,6
PLW,585,Eastern Philippines,20127,Western Coral Triangle,30,Central Indo-Pacific,6
AUS,36,Exmouth to Broome,20144,Northwest Australian Shelf,34,Central Indo-Pacific,6
IDN,360,Exmouth to Broome,20144,Northwest Australian Shelf,34,Central Indo-Pacific,6
FRO,234,Faroe Plateau,20021,Northern European Seas,2,Temperate Northern Atlantic,2
GBR,826,Faroe Plateau,20021,Northern European Seas,2,Temperate Northern Atlantic,2
ISL,352,Faroe Plateau,20021,Northern European Seas,2,Temperate Northern Atlantic,2
BRA,76,Fernando de Naronha and Atoll das Rocas,20074,Tropical Southwestern Atlantic,14,Tropical Atlantic,4
FJI,242,Fiji Islands,25147,Tropical Southwestern Pacific,35,Central Indo-Pacific,6
TON,776,Fiji Islands,25147,Tropical Southwestern Pacific,35,Central Indo-Pacific,6
WLF,876,Fiji Islands,25147,Tropical Southwestern Pacific,35,Central Indo-Pacific,6
BHS,44,Floridian,20070,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
USA,840,Floridian,20070,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
FJI,242,Gilbert/Ellis Islands,25154,"Marshall, Gilbert and Ellis Islands",38,Eastern Indo-Pacific,7
KIR,296,Gilbert/Ellis Islands,25154,"Marshall, Gilbert and Ellis Islands",38,Eastern Indo-Pacific,7
MHL,584,Gilbert/Ellis Islands,25154,"Marshall, Gilbert and Ellis Islands",38,Eastern Indo-Pacific,7
NRU,520,Gilbert/Ellis Islands,25154,"Marshall, Gilbert and Ellis Islands",38,Eastern Indo-Pacific,7
TUV,798,Gilbert/Ellis Islands,25154,"Marshall, Gilbert and Ellis Islands",38,Eastern Indo-Pacific,7
WLF,876,Gilbert/Ellis Islands,25154,"Marshall, Gilbert and Ellis Islands",38,Eastern Indo-Pacific,7
AUS,36,Great Australian Bight,20208,Southwest Australian Shelf,57,Temperate Australasia,11
BHS,44,Greater Antilles,20065,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
