"iso3","country","region","gdp_impute","per_capita_gdp","population"
"TCA","Turks and Caicos Islands","Latin America & Caribbean",FALSE,21.0284081445193,32.66
"TCD","Chad","Sub-Saharan Africa",FALSE,0.891698817391114,11952.136
"TGO","Togo","Sub-Saharan Africa",FALSE,0.533508791977233,6421.679
"THA","Thailand","East Asia & Pacific",FALSE,5.07634299245077,67195.028
"TJK","Tajikistan","Europe & Central Asia",FALSE,0.749552711015842,7527.394
"TLS","Timor-Leste","East Asia & Pacific",FALSE,3.65695216287175,1093.523
"TKM","Turkmenistan","Europe & Central Asia",FALSE,4.43920038235805,5087.213
"TUN","Tunisia","Middle East & North Africa",FALSE,4.14197635336459,10635.244
"TON","Tonga","East Asia & Pacific",FALSE,3.55322061448636,103.986
"TUR","Turkey","Europe & Central Asia",FALSE,10.6723892452162,72326.988
"TTO","Trinidad and Tobago","Latin America & Caribbean",FALSE,16.6833553787376,1328.147
"TUV","Tuvalu","East Asia & Pacific",FALSE,3.02228882031784,10.53
"TZA","Tanzania","Sub-Saharan Africa",FALSE,0.743403784726004,44346.525
"UKR","Ukraine","Europe & Central Asia",FALSE,2.96514236549771,45870.7
"UGA","Uganda","Sub-Saharan Africa",FALSE,0.622498845744984,32428.167
"USA","United States","North America",FALSE,48.4668233750801,309321.666
"URY","Uruguay","Latin America & Caribbean",FALSE,11.9920166266335,3359.275
"UZB","Uzbekistan","Europe & Central Asia",FALSE,1.63431209539718,28562.4
"VCT","St. Vincent and the Grenadines","Latin America & Caribbean",FALSE,6.29278982922694,108.255
"VEN","Venezuela, RB","Latin America & Caribbean",FALSE,13.8253580883312,28439.94
"VGB","British Virgin Islands","Latin America & Caribbean",TRUE,8.0597507128924,27.794
"VIR","Virgin Islands (U.S.)","Latin America & Caribbean",FALSE,40.0431901659314,108.358
"VNM","Vietnam","East Asia & Pacific",FALSE,1.31789070617836,87967.651
"VUT","Vanuatu","East Asia & Pacific",FALSE,2.96685711598678,236.211
"WSM","Samoa","East Asia & Pacific",FALSE,3.56636243488815,185.949
"YEM","Yemen, Rep.","Middle East & North Africa",FALSE,1.33478484461341,23154.855
"ZAF","South Africa","Sub-Saharan Africa",FALSE,7.32861562893966,51216.964
"ZMB","Zambia","Sub-Saharan Africa",FALSE,1.48945906989027,13605.984
"ZWE","Zimbabwe","Sub-Saharan Africa",FALSE,0.94833185445926,12697.723
