"iso3","realm","province","ecoregion","chi_eco","chi_pro","chi_rea"
"ZAF","Western Indo-Pacific","Western Indian Ocean","Delagoa",0.721061118732381,0.721061118732381,0.721061118732381
"FSM","Central Indo-Pacific","Tropical Northwestern Pacific","East Caroline Islands",0.782352860526803,0.82051914287101,0.815865006981075
"MHL","Central Indo-Pacific","Tropical Northwestern Pacific","East Caroline Islands",0.866713653422572,0.866713653422572,0.866713653422572
"CHN","Temperate Northern Pacific","Warm Temperate Northwest Pacific","East China Sea",1.8032184079899,1.8032184079899,1.83829477941365
"JPN","Temperate Northern Pacific","Warm Temperate Northwest Pacific","East China Sea",1.2214443178211,1.33579210372811,1.39024851677529
"KOR","Temperate Northern Pacific","Warm Temperate Northwest Pacific","East China Sea",1.52046647732039,1.52046647732039,1.40392052532725
"TWN","Temperate Northern Pacific","Warm Temperate Northwest Pacific","East China Sea",1.67075411831667,1.67075411831667,1.67075411831667
"GRL","Arctic","Arctic","East Greenland Shelf",1.67418697913004,1.66375980363252,1.66375980363252
"ISL","Arctic","Arctic","East Greenland Shelf",1.73808148032741,1.98122843619843,1.98122843619843
"RUS","Arctic","Arctic","East Siberian Sea",0.800469408298698,1.20373223603573,1.20373223603573
"CHL","Eastern Indo-Pacific","Easter Island","Easter Island",0.567452869325018,0.567452869325018,0.567452869325018
"RUS","Arctic","Arctic","Eastern Bering Sea",1.30151155412272,1.20373223603573,1.20373223603573
"USA","Arctic","Arctic","Eastern Bering Sea",0.834318898039216,1.02462723530826,1.02462723530826
"BRA","Tropical Atlantic","Tropical Southwestern Atlantic","Eastern Brazil",0.914540708842833,1.0407952170038,1.11077518330206
"AIA","Tropical Atlantic","Tropical Northwestern Atlantic","Eastern Caribbean",1.54622706195238,1.54622706195238,1.54622706195238
"ATG","Tropical Atlantic","Tropical Northwestern Atlantic","Eastern Caribbean",1.81770035202934,1.81770035202934,1.81770035202934
"BES","Tropical Atlantic","Tropical Northwestern Atlantic","Eastern Caribbean",1.78178063078838,1.86889247356595,1.86889247356595
"BLM","Tropical Atlantic","Tropical Northwestern Atlantic","Eastern Caribbean",1.76561819265286,1.76561819265286,1.76561819265286
"BRB","Tropical Atlantic","Tropical Northwestern Atlantic","Eastern Caribbean",2.10109743623104,2.10109743623104,2.10109743623104
"DMA","Tropical Atlantic","Tropical Northwestern Atlantic","Eastern Caribbean",2.0816578059386,2.0816578059386,2.0816578059386
"GLP","Tropical Atlantic","Tropical Northwestern Atlantic","Eastern Caribbean",2.0511060500145,2.0511060500145,2.0511060500145
"GRD","Tropical Atlantic","Tropical Northwestern Atlantic","Eastern Caribbean",2.11321149684571,2.11194754252999,2.11194754252999
"GUY","Tropical Atlantic","Tropical Northwestern Atlantic","Eastern Caribbean",2.16269862651825,2.12050223350525,1.94301427303006
"KNA","Tropical Atlantic","Tropical Northwestern Atlantic","Eastern Caribbean",1.86390522204408,1.86390522204408,1.86390522204408
"LCA","Tropical Atlantic","Tropical Northwestern Atlantic","Eastern Caribbean",2.03117611313944,2.03117611313944,2.03117611313944
"MAF","Tropical Atlantic","Tropical Northwestern Atlantic","Eastern Caribbean",1.75841159545458,1.75841159545458,1.75841159545458
"MSR","Tropical Atlantic","Tropical Northwestern Atlantic","Eastern Caribbean",1.94803988232332,1.94803988232332,1.94803988232332
"MTQ","Tropical Atlantic","Tropical Northwestern Atlantic","Eastern Caribbean",2.04158568360309,2.04158568360309,2.04158568360309
"PRI","Tropical Atlantic","Tropical Northwestern Atlantic","Eastern Caribbean",1.94602835178375,1.75855486661898,1.75855486661898
"SXM","Tropical Atlantic","Tropical Northwestern Atlantic","Eastern Caribbean",2.10632727146149,2.10632727146149,2.10632727146149
"TTO","Tropical Atlantic","Tropical Northwestern Atlantic","Eastern Caribbean",2.09449088367923,2.11261866898297,2.06674843101782
"VCT","Tropical Atlantic","Tropical Northwestern Atlantic","Eastern Caribbean",2.12654760508583,2.12654760508583,2.12654760508583
"VEN","Tropical Atlantic","Tropical Northwestern Atlantic","Eastern Caribbean",1.97132679479543,1.85778883101028,1.83173639114922
"VGB","Tropical Atlantic","Tropical Northwestern Atlantic","Eastern Caribbean",1.52016383119389,1.51936167380849,1.51936167380849
"VIR","Tropical Atlantic","Tropical Northwestern Atlantic","Eastern Caribbean",1.72820543882982,1.7402351409947,1.7402351409947
"CRI","Tropical Eastern Pacific","Galapagos","Eastern Galapagos Islands",0.174906792413247,0.188611557732706,0.42823046906578
"ECU","Tropical Eastern Pacific","Galapagos","Eastern Galapagos Islands",0.306213592444737,0.268064632288181,0.323124818310865
"IND","Western Indo-Pacific","Bay of Bengal","Eastern India",1.16342779351313,1.18776844518301,1.17224005146875
"LKA","Western Indo-Pacific","Bay of Bengal","Eastern India",1.17729043728775,1.17729043728775,0.999141335887725
"IDN","Central Indo-Pacific","Western Coral Triangle","Eastern Philippines",1.27562771146022,1.14890244712274,1.16371746005976
"PHL","Central Indo-Pacific","Western Coral Triangle","Eastern Philippines",1.36890764245558,1.32474175914967,1.26106412943622
"PLW","Central Indo-Pacific","Western Coral Triangle","Eastern Philippines",1.15273626579179,1.19208112338351,1.08776062119784
"AUS","Central Indo-Pacific","Northwest Australian Shelf","Exmouth to Broome",1.15011484039258,1.25396106000821,0.955895277764987
"IDN","Central Indo-Pacific","Northwest Australian Shelf","Exmouth to Broome",0.894922691854564,0.894922691854564,1.16371746005976
"FRO","Temperate Northern Atlantic","Northern European Seas","Faroe Plateau",2.05743372388458,2.04489512106495,2.04489512106495
"GBR","Temperate Northern Atlantic","Northern European Seas","Faroe Plateau",2.08351335318192,1.87532985857743,1.87532985857743
"ISL","Temperate Northern Atlantic","Northern European Seas","Faroe Plateau",1.73383903503418,2.41061355490123,2.41061355490123
"BRA","Tropical Atlantic","Tropical Southwestern Atlantic","Fernando de Naronha and Atoll das Rocas",1.39902045763405,1.0407952170038,1.11077518330206
"AGO","Central Indo-Pacific","Tropical Southwestern Pacific","Fiji Islands",1.02196849140786,1.02196849140786,1.02196849140786
"ASM","Central Indo-Pacific","Tropical Southwestern Pacific","Fiji Islands",1.18394315382019,1.18394315382019,1.18394315382019
"ATF","Central Indo-Pacific","Tropical Southwestern Pacific","Fiji Islands",0.835791679402365,0.835791679402365,0.835791679402365
"AUS","Central Indo-Pacific","Tropical Southwestern Pacific","Fiji Islands",1.01484365777411,1.01351492606386,0.955895277764987
"BRA","Central Indo-Pacific","Tropical Southwestern Pacific","Fiji Islands",0.69499708065922,0.69499708065922,0.69499708065922
"CCK","Central Indo-Pacific","Tropical Southwestern Pacific","Fiji Islands",1.51400756275435,1.51400756275435,1.1144079672036
"CHL","Central Indo-Pacific","Tropical Southwestern Pacific","Fiji Islands",0.663445735846355,0.663445735846355,0.663445735846355
"COK","Central Indo-Pacific","Tropical Southwestern Pacific","Fiji Islands",1.20628060690542,1.20628060690542,1.20628060690542
"COM","Central Indo-Pacific","Tropical Southwestern Pacific","Fiji Islands",1.01900199179848,1.01900199179848,1.01900199179848
"FJI","Central Indo-Pacific","Tropical Southwestern Pacific","Fiji Islands",1.21952190310117,1.20495640531356,1.20495640531356
"MDG","Central Indo-Pacific","Tropical Southwestern Pacific","Fiji Islands",1.33568170577982,1.33568170577982,1.33568170577982
"MOZ","Central Indo-Pacific","Tropical Southwestern Pacific","Fiji Islands",0.958448948482459,0.958448948482459,0.958448948482459
"MUS","Central Indo-Pacific","Tropical Southwestern Pacific","Fiji Islands",1.28045254347675,1.28045254347675,1.28045254347675
"NAM","Central Indo-Pacific","Tropical Southwestern Pacific","Fiji Islands",0.943565920338653,0.943565920338653,0.943565920338653
"NCL","Central Indo-Pacific","Tropical Southwestern Pacific","Fiji Islands",0.839336122510077,0.842200165544333,0.842550603653917
"NIU","Central Indo-Pacific","Tropical Southwestern Pacific","Fiji Islands",1.5162448124156,1.5162448124156,1.5162448124156
"PCN","Central Indo-Pacific","Tropical Southwestern Pacific","Fiji Islands",0.561004392252277,0.561004392252277,0.561004392252277
"PER","Central Indo-Pacific","Tropical Southwestern Pacific","Fiji Islands",0.616303309062033,0.616303309062033,0.616303309062033
"PNG","Central Indo-Pacific","Tropical Southwestern Pacific","Fiji Islands",1.04393288587883,1.04393288587883,0.91437623994107
"PYF","Central Indo-Pacific","Tropical Southwestern Pacific","Fiji Islands",0.55801658739748,0.55801658739748,0.55801658739748
"REU","Central Indo-Pacific","Tropical Southwestern Pacific","Fiji Islands",1.88327289854287,1.88327289854287,1.88327289854287
"SHN","Central Indo-Pacific","Tropical Southwestern Pacific","Fiji Islands",0.564236964113424,0.564236964113424,0.564236964113424
"SLB","Central Indo-Pacific","Tropical Southwestern Pacific","Fiji Islands",1.14302358724251,1.08555191787845,1.0609871031792
"TON","Central Indo-Pacific","Tropical Southwestern Pacific","Fiji Islands",1.43251649314765,1.42472247341755,1.42472247341755
"VUT","Central Indo-Pacific","Tropical Southwestern Pacific","Fiji Islands",1.0821253427764,1.08729730987061,1.08729730987061
"WLF","Central Indo-Pacific","Tropical Southwestern Pacific","Fiji Islands",1.33759584329167,1.33759584329167,1.33759584329167
"WSM","Central Indo-Pacific","Tropical Southwestern Pacific","Fiji Islands",1.27730188888559,1.27730188888559,1.27730188888559
"BHS","Tropical Atlantic","Tropical Northwestern Atlantic","Floridian",1.33721828460693,0.970505143663188,0.970505143663188
"USA","Tropical Atlantic","Tropical Northwestern Atlantic","Floridian",1.167767857332,1.13441768537608,1.13441768537608
"AGO","Eastern Indo-Pacific","Marshall, Gilbert and Ellis Islands","Gilbert/Ellis Islands",0.567207649153811,0.567207649153811,0.567207649153811
"ASM","Eastern Indo-Pacific","Marshall, Gilbert and Ellis Islands","Gilbert/Ellis Islands",0.898952067028772,0.898952067028772,1.03190438061813
"AUS","Eastern Indo-Pacific","Marshall, Gilbert and Ellis Islands","Gilbert/Ellis Islands",0.732021038680635,0.732021038680635,0.732021038680635
"BRA","Eastern Indo-Pacific","Marshall, Gilbert and Ellis Islands","Gilbert/Ellis Islands",1.26937377480324,1.26937377480324,1.26937377480324
"CCK","Eastern Indo-Pacific","Marshall, Gilbert and Ellis Islands","Gilbert/Ellis Islands",1.02854983347056,1.02854983347056,1.02854983347056
"COD","Eastern Indo-Pacific","Marshall, Gilbert and Ellis Islands","Gilbert/Ellis Islands",0.634425211327755,0.634425211327755,0.634425211327755
"COG","Eastern Indo-Pacific","Marshall, Gilbert and Ellis Islands","Gilbert/Ellis Islands",0.538469703825699,0.538469703825699,0.538469703825699
"COK","Eastern Indo-Pacific","Marshall, Gilbert and Ellis Islands","Gilbert/Ellis Islands",0.611072906538766,0.611072906538766,0.925543089028639
"COM","Eastern Indo-Pacific","Marshall, Gilbert and Ellis Islands","Gilbert/Ellis Islands",1.04688129666689,1.04688129666689,1.04688129666689
"CXR","Eastern Indo-Pacific","Marshall, Gilbert and Ellis Islands","Gilbert/Ellis Islands",1.14546822116864,1.14546822116864,1.14546822116864
"ECU","Eastern Indo-Pacific","Marshall, Gilbert and Ellis Islands","Gilbert/Ellis Islands",0.351636811733547,0.351636811733547,0.351636811733547
"FJI","Eastern Indo-Pacific","Marshall, Gilbert and Ellis Islands","Gilbert/Ellis Islands",1.35962036195363,1.35962036195363,1.36675778817953
"GAB","Eastern Indo-Pacific","Marshall, Gilbert and Ellis Islands","Gilbert/Ellis Islands",0.585551714472933,0.585551714472933,0.585551714472933
"GNQ","Eastern Indo-Pacific","Marshall, Gilbert and Ellis Islands","Gilbert/Ellis Islands",0.518499478658769,0.518499478658769,0.518499478658769
"IDN","Eastern Indo-Pacific","Marshall, Gilbert and Ellis Islands","Gilbert/Ellis Islands",1.04363435407995,1.04363435407995,1.04363435407995
"KEN","Eastern Indo-Pacific","Marshall, Gilbert and Ellis Islands","Gilbert/Ellis Islands",1.14245074165278,1.14245074165278,1.14245074165278
"KIR","Eastern Indo-Pacific","Marshall, Gilbert and Ellis Islands","Gilbert/Ellis Islands",0.322147899971716,0.325527904533639,0.297079752427288
"MDG","Eastern Indo-Pacific","Marshall, Gilbert and Ellis Islands","Gilbert/Ellis Islands",0.990612535928454,0.990612535928454,0.990612535928454
"MDV","Eastern Indo-Pacific","Marshall, Gilbert and Ellis Islands","Gilbert/Ellis Islands",0.801477446824312,0.801477446824312,0.801477446824312
"MHL","Eastern Indo-Pacific","Marshall, Gilbert and Ellis Islands","Gilbert/Ellis Islands",0.432214526138429,0.836358307657767,0.836358307657767
"MOZ","Eastern Indo-Pacific","Marshall, Gilbert and Ellis Islands","Gilbert/Ellis Islands",0.984157682612771,0.984157682612771,0.984157682612771
"MUS","Eastern Indo-Pacific","Marshall, Gilbert and Ellis Islands","Gilbert/Ellis Islands",0.868614856358658,0.868614856358658,0.868614856358658
"NRU","Eastern Indo-Pacific","Marshall, Gilbert and Ellis Islands","Gilbert/Ellis Islands",0.473588015657277,0.473588015657277,0.473588015657277
"PER","Eastern Indo-Pacific","Marshall, Gilbert and Ellis Islands","Gilbert/Ellis Islands",0.67967793059519,0.67967793059519,0.67967793059519
"PNG","Eastern Indo-Pacific","Marshall, Gilbert and Ellis Islands","Gilbert/Ellis Islands",0.92872592709819,0.92872592709819,0.92872592709819
"PYF","Eastern Indo-Pacific","Marshall, Gilbert and Ellis Islands","Gilbert/Ellis Islands",0.320335874291581,0.320335874291581,0.574953444547445
"SHN","Eastern Indo-Pacific","Marshall, Gilbert and Ellis Islands","Gilbert/Ellis Islands",1.05621845392343,1.05621845392343,1.05621845392343
"SLB","Eastern Indo-Pacific","Marshall, Gilbert and Ellis Islands","Gilbert/Ellis Islands",1.06278623100847,1.06278623100847,1.06278623100847
"SYC","Eastern Indo-Pacific","Marshall, Gilbert and Ellis Islands","Gilbert/Ellis Islands",1.06812781822949,1.06812781822949,1.06812781822949
