iso3,realm,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
EGY,Western Indo-Pacific,44175.263005331966,12365121.718261719,55458.65036735846,46189.82313647528,17625356.51925905,58061.875290350865,2611.1083604201135,NA,1059.9580671751141,0.4795437453614275,2135349.2628147104,3124885.5381826214,7395584.063812042,3124885.5381826214,Buyers
BRA,Temperate South America,451479.62813612306,120457519.15039062,540780.1735863835,463635.6574301683,137714660.89848718,555527.5081411081,1453.159627519318,NA,1399.5946354973612,0.1153704954057867,17013513.388894483,243628.35920207202,34270655.13699104,243628.35920207202,Buyers
BGD,Western Indo-Pacific,28308.136951125183,175373.71350097656,34882.857681738824,70014.10596622877,292795648.229831,89478.29736645875,11056.74432278341,NA,1059.9580671751141,0.4795437453614275,44206578.3069144,248413696.2094156,336826852.8232444,248413696.2094156,Buyers
TGO,Tropical Atlantic,11056.788701996207,310839.36376953125,12272.431304208225,9619.4061707367,237620.10263982412,10671.558298973798,50.93930080362721,NA,615.2606878511589,0.36492947873267156,884364.9648879643,-957584.2260176714,811145.7037582572,811145.7037582572,Sellers
MEX,Temperate Northern Atlantic,69812.3758169737,21081570.229736328,83759.15515994235,62952.407423330325,8367917.713671875,76325.9290113782,1593.6708573266662,NA,2436.8556319810427,0.9930393036123429,16716752.615261799,-29430405.13132625,4003100.099197346,4003100.099197346,Sellers
USA,Temperate Northern Atlantic,978023.8779114356,448503919.52246094,1104151.6069356475,997339.1719856008,497299782.51682913,1126651.337653416,2579.5783159162024,NA,2436.8556319810427,0.9930393036123429,47068583.14799973,1727279.8463684618,95864446.14236796,1727279.8463684618,Buyers
USA,Eastern Indo-Pacific,1521906.207027406,5233917.669189453,1697648.6168132848,1567681.4043280908,5992042.599921372,1749891.8781719306,22.57917666202825,NA,9.966063630443859,0.3963044972499923,456198.5289947474,301926.4017371713,1214323.459726666,301926.4017371713,Buyers
ATF,Temperate Southern Africa,341323.2507800709,1179074.1446533203,391552.62045654777,296951.22817866167,834133.674823516,341315.49083452916,4.992120674194965,NA,48.30990161208785,0.2665604811107063,2143608.046203418,-2488548.5160332224,1798667.576373614,1798667.576373614,Sellers
SPM,Temperate Northern Atlantic,14696.582376707003,9543495.072021484,17281.040163072234,14340.940495386258,8940809.112002295,16875.09533073911,1694.6428181658416,NA,2436.8556319810427,0.9930393036123429,866647.9214647925,-1469333.8814839823,263961.9614456035,263961.9614456035,Sellers
PAN,Tropical Eastern Pacific,103022.8881073435,526534.8708496094,125441.01221771538,129494.62994703409,19653058.811725393,158537.9976713554,1540.5943135965788,NA,41.05854476203522,0.16727014387696626,1086891.1972539765,18039632.743621808,20213415.13812976,18039632.743621808,Buyers
NGA,Tropical Atlantic,102053.35760810491,2818935.2346191406,113613.55880683646,136079.65708900738,164713008.55473033,155405.91212147713,6847.920301642508,NA,615.2606878511589,0.36492947873267156,20935044.423649583,140959028.8964616,182829117.74376076,140959028.8964616,Buyers
PRI,Tropical Atlantic,137495.08371813665,10651143.185302734,155283.6702668318,119620.7228347789,2640098.7638156125,135688.03811990668,180.45818028137006,NA,615.2606878511589,0.36492947873267156,10997391.571994534,-19008435.993481655,2986347.150507412,2986347.150507412,Sellers
REU,Western Indo-Pacific,268029.1495568013,2357964.8803710938,300210.6304542479,233185.3601144171,505775.7297229976,261065.15765833983,3.673735723595538,NA,1059.9580671751141,0.4795437453614275,36932955.710406214,-38785144.86105431,35080766.55975812,35080766.55975812,Sellers
MOZ,Western Indo-Pacific,508763.9161724069,60015700.221191406,549945.7858604175,442624.60706999403,26729793.88185314,474536.90222178167,402.7908993351249,NA,1059.9580671751141,0.4795437453614275,70104894.240491,-103390800.57982928,36818987.90115274,36818987.90115274,Sellers
GUM,Central Indo-Pacific,164999.34615027218,1221253.8466796875,203952.15345596682,143549.43115073678,495202.60133115266,177377.1628854544,11.802245693400774,NA,1520.206397574364,0.7454221795017648,32608298.00972002,-33334349.255068555,31882246.764371485,31882246.764371485,Sellers
VEN,Tropical Atlantic,306283.88475614623,15602994.378173828,338080.403994216,355616.5195021423,61045184.638441086,393658.5507249082,1143.7548453054997,NA,615.2606878511589,0.36492947873267156,30352430.78733154,15089759.472935718,75794621.0475988,15089759.472935718,Buyers
TUV,Eastern Indo-Pacific,454693.4857311839,1888784.8564453125,588365.292780468,468028.7187191089,2076011.7412052127,605346.7431699071,19.902269961456298,NA,9.966063630443859,0.3963044972499923,132899.78048445456,54327.1042754456,320126.66524435463,54327.1042754456,Buyers
MDV,Western Indo-Pacific,701140.2108360631,46421112.19970703,844468.1209256208,661427.1353124819,9898611.919147475,800731.6161791696,577.1209381615612,NA,1059.9580671751141,0.4795437453614275,42094194.773554504,-78616695.05411406,5571694.492994947,5571694.492994947,Sellers
MTQ,Tropical Atlantic,42709.86979201707,2632218.7087402344,47587.29412892145,39549.13084217586,1535675.7947660252,44150.16100908575,344.7923026601873,NA,615.2606878511589,0.36492947873267156,1944678.4203972516,-3041221.3343714606,848135.5064230424,848135.5064230424,Sellers
KIR,Eastern Indo-Pacific,2282487.9258945975,11539643.384154975,2646802.0980109824,2444605.2780339797,13276404.560987664,2840185.365560967,11.529009436108659,NA,9.966063630443859,0.3963044972499923,1615671.8470201564,121089.32981253252,3352433.0238528457,121089.32981253252,Buyers
ASM,Eastern Indo-Pacific,250387.02424981145,923713.4011230469,328933.0659616449,240821.35003022454,850974.3605000952,315922.5829293988,6.466930831515959,NA,9.966063630443859,0.3963044972499923,95332.11794049961,-168071.15856345132,22593.077317547868,22593.077317547868,Sellers
BES,Tropical Atlantic,21959.467799761253,2096705.6943359375,23769.23434976199,18756.04155525736,1214728.2759689917,20283.367719714755,163.70485332723155,NA,615.2606878511589,0.36492947873267156,1970942.2346739187,-2852919.6530408645,1088964.8163069729,1088964.8163069729,Sellers
USA,Tropical Atlantic,159090.9504793631,10037088.407226562,176422.39107661115,202835.1438333054,55912959.93151213,224123.19480635328,1577.2363697414712,NA,615.2606878511589,0.36492947873267156,26914082.492440633,18961789.031844936,72789954.0167262,18961789.031844936,Buyers
GNQ,Tropical Atlantic,264980.4140654332,3085563.2060546875,288976.39045416546,236133.91540360326,1164789.5091486773,254670.35045820242,37.23841067256695,NA,615.2606878511589,0.36492947873267156,17748116.608775027,-19668890.30568104,15827342.911869017,15827342.911869017,Sellers
COM,Western Indo-Pacific,152457.25334900685,7995799.9169921875,162869.78168788948,135169.92819935273,780641.8741208466,144870.5814113296,67.96963369640446,NA,1059.9580671751141,0.4795437453614275,18323839.752255123,-25538997.795126464,11108681.709383782,11108681.709383782,Sellers
SYC,Western Indo-Pacific,1089023.6101175637,47344892.29394531,1184003.5991189922,947065.90281406,7860641.862029683,1035372.0444610835,149.2081675952504,NA,1059.9580671751141,0.4795437453614275,150469217.05403244,-189953467.4859481,110984966.62211682,110984966.62211682,Sellers
CAN,Temperate Northern Pacific,308444.205574279,188316614.86694336,365223.4743376443,268125.0851702241,82020634.4132456,319436.6219029539,1805.8218374758692,NA,4889.062332053298,0.960929527395453,197122692.82898653,-303418673.28268427,90826712.37528877,90826712.37528877,Sellers
ASM,Central Indo-Pacific,7037.259484027765,20539.193359375,8834.764167565252,6122.415751104156,16648.988740199602,7698.086441841424,4.252315973945943,NA,1520.206397574364,0.7454221795017648,1390751.295571284,-1394641.5001904592,1386861.0909521086,1386861.0909521086,Sellers
GIN,Tropical Atlantic,53703.04158979234,4586153.806152344,57773.33214891813,73304.90697033632,31083382.138350442,79076.43906606194,1862.0610443194919,NA,615.2606878511589,0.36492947873267156,12060257.17719931,14436971.154998789,38557485.50939741,14436971.154998789,Buyers
FRA,Tropical Eastern Pacific,381682.4802565064,3049178.216796875,426794.7238092305,334346.64278460736,1771869.5481704278,373949.60651782656,22.408960801524806,NA,41.05854476203522,0.16727014387696626,1943540.6016883913,-3220849.2703148387,666231.9330619441,666231.9330619441,Sellers
GNB,Tropical Atlantic,65491.084486414635,6006518.224609375,69615.69561150369,83895.84265843013,24751542.452001214,89368.4502023536,1809.5522389771008,NA,615.2606878511589,0.36492947873267156,11323724.172648493,7421300.054743346,30068748.400040332,7421300.054743346,Buyers
MDG,Western Indo-Pacific,1082447.1648600881,103994092.66064453,1172723.0724157544,941729.0334282767,31813543.739576545,1023645.5173834667,376.91063242322525,NA,1059.9580671751141,0.4795437453614275,149155318.60895658,-221335867.53002456,76974769.68788859,76974769.68788859,Sellers
VIR,Tropical Atlantic,34372.17410735174,1551284.5942382812,38204.07327426964,32253.387503550894,440039.03292237734,35882.628401420654,524.472619999797,NA,615.2606878511589,0.36492947873267156,1303606.10326433,-2414851.664580234,192360.54194842605,192360.54194842605,Sellers
DMA,Tropical Atlantic,29384.170083455076,1753564.5078125,32629.000523304818,25564.227972605917,454668.14221780933,28490.362855450858,224.5695902762992,NA,615.2606878511589,0.36492947873267156,2350260.210672661,-3649156.576267352,1051363.8450779705,1051363.8450779705,Sellers
FRA,Temperate Northern Atlantic,259515.21886892716,244747118.66845703,307541.39073753706,256120.28140612578,236489219.3192188,303647.249321467,2432.4005351287046,NA,2436.8556319810427,0.9930393036123429,8272972.476450964,-16530871.825689182,15073.12721273303,15073.12721273303,Sellers
NRU,Eastern Indo-Pacific,207621.28980777212,848245.07080078125,255300.10942928007,219839.75663356538,1117706.3481883258,270278.10480824945,33.89433649459162,NA,9.966063630443859,0.3963044972499923,121770.01785232307,147691.25953522144,391231.29523986764,147691.25953522144,Buyers
NZL,Central Indo-Pacific,2296.7782385633923,6179.10595703125,2605.013497601354,1998.1970675501514,5375.8221826171875,2266.361742913178,2.6903363386515746,NA,1520.206397574364,0.7454221795017648,453905.0063695741,-454708.29014398815,453101.72259516007,453101.72259516007,Sellers
MHL,Eastern Indo-Pacific,1352330.6897722497,5434062.87109375,1584195.4340823207,1342550.5663673605,5348065.078104149,1572582.551902929,8.202454438396517,NA,9.966063630443859,0.3963044972499923,97469.33216671836,-183467.12515631976,11471.539177116938,11471.539177116938,Sellers
PLW,Central Indo-Pacific,483952.0320509861,5299785.6650390625,589949.5245929465,421038.2678843579,1804150.4552036433,515706.7528939125,7.750610324557759,NA,1520.206397574364,0.7454221795017648,95641906.78159295,-99137541.99142838,92146271.57175753,92146271.57175753,Sellers
ECU,Tropical Eastern Pacific,750493.572606578,18609337.02782478,830628.8285279559,831075.743070311,23161810.546714403,920720.2040765183,120.53159657504457,NA,41.05854476203522,0.16727014387696626,3308586.653007135,1243886.865882486,7861060.171896756,1243886.865882486,Buyers
SLB,Central Indo-Pacific,1134018.3225700657,28913621.548828125,1366675.5327612474,986595.9406359572,11502664.34358793,1197777.9589523922,83.64150705926903,NA,1520.206397574364,0.7454221795017648,224112448.16188318,-241523405.36712337,206701490.956643,206701490.956643,Sellers
MHL,Central Indo-Pacific,57653.79596774633,310382.53955078125,70108.91504847918,50158.80249193931,246770.14995031978,60872.243631404446,7.6089339039785475,NA,1520.206397574364,0.7454221795017648,11393937.031699955,-11457549.421300417,11330324.642099494,11330324.642099494,Sellers
LCA,Tropical Atlantic,8094.026958104163,2407269.7802734375,8968.936510754183,7041.803453550621,1801108.4926169906,7815.044736958123,576.0765512586053,NA,615.2606878511589,0.36492947873267156,647391.757184769,-1253553.044841216,41230.46952832211,41230.46952832211,Sellers
ATF,Western Indo-Pacific,223269.1395247,4879686.83203125,239042.45392348923,194244.15138648901,1182977.0269804867,207834.03079219774,9.938885552056682,NA,1059.9580671751141,0.4795437453614275,30765270.326758735,-34461980.131809495,27068560.52170797,27068560.52170797,Sellers
IRN,Western Indo-Pacific,44982.013936579264,16109400.694824219,55671.63553774677,106278.30890057873,112658821.70418005,131369.10071942915,2592.4729132856633,NA,1059.9580671751141,0.4795437453614275,64971502.33503656,31577918.674319267,161520923.3443924,31577918.674319267,Buyers
BRN,Central Indo-Pacific,29085.001117021882,9306450.2939453125,36703.86286835199,31679.156954892977,14945338.61539071,39909.10393481759,8845.43529989479,NA,1520.206397574364,0.7454221795017648,3943652.3010365223,1695236.0204088758,9582540.62248192,1695236.0204088758,Buyers
FSM,Central Indo-Pacific,2133089.0762867825,33386731.891601562,2660636.1200643796,1855787.4963695009,13612755.37458059,2323164.443669513,18.839009220701065,NA,1520.206397574364,0.7454221795017648,421555635.84773034,-441329612.36475134,401781659.33070934,401781659.33070934,Sellers
CIV,Tropical Atlantic,134519.4912048041,2543775.7578125,150556.2297174392,132488.40198684207,2327834.40223258,148065.40546867007,106.31800595967573,NA,615.2606878511589,0.36492947873267156,1249649.3493303896,-1465590.7049103098,1033707.9937504695,1033707.9937504695,Sellers
SEN,Tropical Atlantic,104354.12638736695,2123852.177734375,113633.7074243478,115072.7247101149,22190767.24412284,125694.65090706863,2902.194680054952,NA,615.2606878511589,0.36492947873267156,6594732.176854178,13472182.889534287,26661647.243242644,13472182.889534287,Buyers
MSR,Tropical Atlantic,2639.4597188736343,10560.8984375,2955.1053658909827,4675.287651671737,1601844.44155981,5149.581395801912,781.6395076843269,NA,615.2606878511589,0.36492947873267156,1252564.8942799636,338718.6488423464,2843848.4374022735,338718.6488423464,Buyers
MRT,Tropical Atlantic,100303.34536347476,1726877.8935546875,119995.09692158841,109191.05931172833,37330812.15257228,132645.5291446951,7292.2831666689535,NA,615.2606878511589,0.36492947873267156,5468260.9972268315,30135673.261790764,41072195.25624443,30135673.261790764,Buyers
MYS,Central Indo-Pacific,80760.5075497797,43736061.9453125,100931.52163462195,339642.8270302435,1105078340.1063657,422100.9795175935,9305.284444780626,NA,1520.206397574364,0.7454221795017648,393554558.29309154,667787719.8679616,1454896836.4541447,667787719.8679616,Buyers
KNA,Tropical Atlantic,8068.184894697439,1128066.5458984375,8834.764167565252,7019.320858386772,719663.1950316717,7714.539386183545,389.3768274325685,NA,615.2606878511589,0.36492947873267156,645324.8084428438,-1053728.1593096098,236921.457576078,236921.457576078,Sellers
YEM,Western Indo-Pacific,377336.1105612471,29640880.967773438,438458.674593729,386943.529403718,40293700.87752031,450801.07541151,1289.4203265628835,NA,1059.9580671751141,0.4795437453614275,10183461.106807241,469358.8029396292,20836281.01655411,469358.8029396292,Buyers
JPN,Temperate Northern Pacific,1229161.211819488,1045254661.9056621,1411812.8090444724,1155947.350191092,732910495.6488613,1325937.2909291438,3886.6696256372406,NA,4889.062332053298,0.960929527395453,357947133.0715542,-670291299.328355,45602966.81475341,45602966.81475341,Sellers
OMN,Western Indo-Pacific,388543.4444550651,42626985.14746094,457750.2964235551,387278.5835458277,41339307.0008769,455798.8422310859,1018.0393252570182,NA,1059.9580671751141,0.4795437453614275,1340699.5246006425,-2628377.6711846767,53021.37801660597,53021.37801660597,Sellers
STP,Tropical Atlantic,114134.37893220727,4354530.2138671875,126140.75857720617,104088.08943144337,1185908.397273094,114917.17906498483,68.07416613259235,NA,615.2606878511589,0.36492947873267156,6181086.988591874,-9349708.805185968,3012465.1719977804,3012465.1719977804,Sellers
GMB,Tropical Atlantic,11241.09990916433,160241.369140625,11983.503842286424,14425.302813260176,8399814.146446433,15489.656373519962,3814.9376381615684,NA,615.2606878511589,0.36492947873267156,1959114.869031668,6280457.90827414,10198687.646337476,6280457.90827414,Buyers
CPV,Tropical Atlantic,724172.5024385512,26279381.142578125,780244.714204462,630030.0771215395,7353325.889893742,678685.4221038616,33.405233748745886,NA,615.2606878511589,0.36492947873267156,57922133.35652094,-76848188.60920534,38996078.10383656,38996078.10383656,Sellers
