iso3,realm,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,rect,mkt_tc_b,mkt_tc_s,savings,transaction
PAN,Tropical Atlantic,82412.35704113175,58877.260482788086,102780.10948402128,47812.12670064593,22298.170849243725,60428.3809070283,0.7152429806943985,NA,2.5251441499521925,87370.56923127612,-123949.65886482049,50791.47959773176,50791.47959773176,Sellers
SHN,Temperate South America,551737.8633850124,108530.25021362305,628248.0194949317,236685.10437339355,29584.256531831335,269604.89955577726,0.14177316764803216,NA,4.139293915525244,1304095.9684462347,-1383041.9621280264,1225149.974764443,1225149.974764443,Sellers
IND,Western Indo-Pacific,246858.10219132545,770395.7987213135,293985.9485606956,765243.7831927172,5248373.678648121,917383.8613879554,11.254615647586762,NA,5.175767795450372,2683043.913349613,1794933.9665771942,7161021.79327642,1794933.9665771942,Buyers
VUT,Central Indo-Pacific,408092.5752889817,340145.9382171631,465503.14891412243,217999.8785741737,46188.0965087548,251060.71662318797,0.32868337534293024,NA,7.214766619540059,1371474.4428763492,-1665432.2845847574,1077516.601167941,1077516.601167941,Sellers
KEN,Western Indo-Pacific,71174.19105200836,36033.255126953125,76782.2968321665,39708.085902131425,4668.042028047698,43007.81960428837,0.1483343635369659,NA,5.175767795450372,162861.25368298814,-194226.46678189357,131496.04058408272,131496.04058408272,Sellers
NIC,Tropical Atlantic,40419.48871148081,15641.328491210938,47947.91902682012,49865.287599610325,52668.919557050234,59900.839156695976,6.799578434835828,NA,2.5251441499521925,23852.003803985175,13175.587261854122,60879.594869824476,13175.587261854122,Buyers
ZAF,Western Indo-Pacific,60461.54512988219,63234.28692626953,65178.70171489988,26842.050431971384,3666.400559637787,29738.009322257883,0.177543327229003,NA,5.175767795450372,174006.6979567613,-233574.58432339304,114438.81159012954,114438.81159012954,Sellers
NZL,Temperate Australasia,895730.6837007352,291102.4068909838,509536.3291975199,895730.6837007351,445525.5859477547,1042787.3728410943,1.0731056320522259,NA,0.37803617252698385,4.400920268695148e-11,154423.1790567708,154423.17905677092,154423.17905677092,Buyers
CAN,Temperate Northern Atlantic,193964.1902366461,1388179.0938568115,225202.75925871913,319818.2051449853,21430710.69076644,375810.66052373155,234.3701941313098,NA,55.730258045210455,7013876.726867506,13028654.870042121,27056408.32377713,13028654.870042121,Buyers
JPN,Central Indo-Pacific,1105666.1894148183,2709932.3061828613,1198611.225059426,696398.1965487007,551183.944823424,757446.7632130067,2.253872705155226,NA,7.214766619540059,2952773.0533766244,-5111521.414736062,794024.692017187,794024.692017187,Sellers
